Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2022-05-13;0;14.8;28.2;20.8;15.5;70.4;
2022-05-14;0;14.3;27.1;21.4;17.6;65.6;
2022-05-15;0;14.2;23;19.3;16.5;72.9;
2022-05-16;0;15.5;26.3;20.1;17.2;76.5;
2022-05-17;3.6;14.8;21.8;17.9;16.1;82.3;
2022-05-18;.2;3.8;17.4;13.2;9.7;54.4;
2022-05-19;0;3.4;18.1;12;6.7;56.8;
2022-05-20;0;4.6;21.9;14;6.4;57.8;
2022-05-21;0;5.8;23.1;15.1;7.9;57;
2022-05-22;0;7.4;24.5;17.2;10.7;54.8;
2022-05-23;0;8.9;23.9;17.6;13.5;57.6;
2022-05-24;0;10;24.2;18.1;13.8;60.5;
2022-05-25;0;11.1;21.1;17.2;12.3;68.2;
2022-05-26;0;11.6;25.1;19;15.5;63.8;
2022-05-27;0;11.2;24.8;18.7;14.8;63.6;
2022-05-28;0;10.7;25;18.1;12.2;64.5;
2022-05-29;0;13.2;26.5;19.2;13.5;70.1;
2022-05-30;0;13;27.9;20.6;14.3;64.7;
2022-05-31;0;12.3;28.5;20.9;14.2;61.2;
2022-06-01;0;14.7;26.7;21.3;16.7;66.7;
2022-06-02;0;14;28.2;21.6;15.7;63.8;
2022-06-03;0;13.1;29.3;21.5;15;62.8;
2022-06-04;0;12.9;25;20.1;16.7;64;
2022-06-05;0;10.6;24.3;18;12.5;64;
2022-06-06;0;9.4;23.9;17.3;13.2;61.5;
2022-06-07;0;9.8;25.8;17.7;11;62.4;
2022-06-08;0;11.1;28.4;19.4;12.1;61.6;
2022-06-09;0;12.8;27.3;20.6;15;62.9;
2022-06-10;0;12.2;27.5;21.5;17.7;56.7;
2022-06-11;0;13.8;26.6;21;16.4;64.4;
2022-06-12;0;14;25.5;20.2;17;69.1;
2022-06-13;0;6.1;26.1;18.7;12.3;48.1;
2022-06-14;0;7.3;23.4;15.8;8.6;58.7;
2022-06-15;0;9.3;22.8;16.6;13.1;62.7;
2022-06-16;0;9.1;25.4;16.7;10.1;63.8;
2022-06-17;0;8.6;26.1;18.2;10.5;57.1;
2022-06-18;0;9.6;26.6;18.4;11.8;58.9;
2022-06-19;0;12.1;26.3;19.4;12.8;64.5;
2022-06-20;0;12.5;24.8;19.3;15.7;66.1;
2022-06-21;0;12.1;24.7;18.9;13.8;65.9;
2022-06-22;0;10.4;26.5;19.3;13.6;59.5;
2022-06-23;0;10.1;26.5;19.1;13.4;60.1;
2022-06-24;0;9.2;26.7;18.8;12.4;57.9;
2022-06-25;0;9.4;27.6;19.1;11.2;57.5;
2022-06-26;0;9.5;25.3;19.4;12.6;54;
2022-06-27;0;10.4;22.6;16.1;11.1;70.6;
2022-06-28;0;9.6;22.9;16.4;12.2;66;
2022-06-29;0;9.9;25.8;17.3;10.6;64.2;
2022-06-30;0;10.2;27.4;19.1;12.2;60.4;
2022-07-01;0;10.9;23.9;18;12.8;64.6;
2022-07-02;0;11.1;25.4;18.5;14.4;63.4;
2022-07-03;0;11.6;25.2;18.8;13.6;64.5;
2022-07-04;0;9.8;24.5;18.6;14.3;58.5;
2022-07-05;0;10.6;24.7;18.6;12.5;60.7;
2022-07-06;0;10.8;25.3;18;11.8;65.7;
2022-07-07;0;9.4;25.3;17.7;11.2;60.6;
2022-07-08;0;8.4;25.1;18;11.7;56.6;
2022-07-09;0;10.2;25;18.6;13.8;59.3;
2022-07-10;0;10;23.6;18.1;14.6;60.9;
2022-07-11;0;9.9;24.4;18.3;13;60.8;
2022-07-12;0;9.1;26.8;18.6;12.1;56.8;
2022-07-13;0;9.7;27.3;19;11.6;58;
2022-07-14;0;10.6;25.3;19.3;15.3;59.3;
2022-07-15;0;11.5;26.3;19.5;15.4;61.6;
2022-07-16;0;11.2;27.4;20.1;14.2;58.9;
2022-07-17;0;11.4;29.5;20.5;13.1;58.7;
2022-07-18;0;11.6;27.1;20.6;15.9;58.3;
2022-07-19;0;11.1;25.8;19.9;15.9;58.2;
2022-07-20;0;11.3;26.1;19.1;12.7;62;
2022-07-21;0;10.7;25.5;18.8;12.6;61.7;
2022-07-22;0;10.2;26.1;19.2;13.3;58;
2022-07-23;0;9.7;26.9;19.3;12.7;56.7;
2022-07-24;0;10.6;24.7;19;14.1;59.5;
2022-07-25;0;10.1;25.3;19;14.5;57.3;
2022-07-26;0;10;24.9;18.8;14.7;58;
2022-07-27;0;9.8;25;18;11;61.2;
2022-07-28;0;8.8;26.7;18.4;11.7;57;
2022-07-29;0;8.8;28.8;19.7;12.1;53.7;
2022-07-30;0;9.6;28.7;21.6;15.6;47.9;
2022-07-31;0;12.9;27.5;20.9;17;61.1;
2022-08-01;0;13.4;26.7;20.1;16.3;66.5;
2022-08-02;0;12;28.4;21.1;16.1;58.4;
2022-08-03;0;10.9;28.6;21.3;14.6;54.5;
2022-08-04;0;9.1;28;21.1;14.7;49.1;
2022-08-05;0;9.5;30.4;21.8;14.4;49.3;
2022-08-06;0;10.5;30.3;22.2;14.7;49.5;
2022-08-07;0;11.4;30.9;22.5;16.6;53.3;
2022-08-08;0;11.3;30.9;22.9;17.9;50;
2022-08-09;0;13;29.8;21.8;15.4;59.2;
2022-08-10;0;13.4;26.5;20.4;18;65.2;
2022-08-11;0;4.9;25.4;17.3;9.7;46.5;
2022-08-12;0;7;24.6;18.5;12.7;48.8;
2022-08-13;0;8.7;25.7;18.9;14.2;53;
2022-08-14;0;8.3;24.7;18.2;13.4;54.7;
2022-08-15;0;7.5;25.1;17.9;12.5;52.5;
2022-08-16;0;9.4;29.4;20.6;14.3;51.6;
2022-08-17;0;10.1;31;22.9;17.2;47.5;
2022-08-18;0;10.3;29;21.7;15.9;50.6;
2022-08-19;0;9.5;30.4;22.2;16.8;46.4;
2022-08-20;0;9.4;24.6;18.2;13.9;57.9;
2022-08-21;0;9.1;22.8;16.7;12.6;61.8;
2022-08-22;0;6.7;25.7;17.2;9.3;53.8;
2022-08-23;0;8.6;26.3;19.6;14.4;50.9;
2022-08-24;0;8.9;27.5;19.6;11.9;53.6;
2022-08-25;0;10.4;25.4;19.8;13.6;56;
2022-08-26;0;11.4;27.2;20.3;15.7;58.9;
2022-08-27;0;9.8;28.2;21.5;16.8;49;
2022-08-28;0;8.5;30.4;23.5;17.8;41;
2022-08-29;0;10.6;28.5;21.2;16.1;51.3;
2022-08-30;0;7.2;22.4;16.6;12.6;54.8;
2022-08-31;0;4.4;24;16.3;10.3;47.7;
2022-09-01;0;5.4;24.6;17.2;11.6;48;
2022-09-02;0;6.2;26.3;18.4;12.4;48.1;
2022-09-03;0;6.2;30.3;21.2;11.5;41.8;
2022-09-04;0;8.2;30.2;23;15.3;40.2;
2022-09-05;0;12.6;24.5;19.7;16.4;64.6;
2022-09-06;0;10.3;25.3;19.1;13.9;59.3;
2022-09-07;0;7.8;24.6;18.4;13.1;51.7;
2022-09-08;0;9.8;29.3;20.8;14.7;51.8;
2022-09-09;0;9.4;31.5;23.1;15.8;44.8;
2022-09-10;0;8.2;33.6;24.8;16.1;38.3;
2022-09-11;0;8.8;34.4;26.1;19.4;35.6;
2022-09-12;0;12.5;30.3;23.5;18;52.1;
2022-09-13;0;11.7;33.3;24.1;17.5;50.1;
2022-09-14;0;9.3;36.1;26.5;19.4;39.3;
2022-09-15;0;12.5;30.8;24.8;19.4;48.2;
2022-09-16;0;13.8;29.4;22.5;18.5;59.4;
2022-09-17;.6;11.8;21.3;17.7;16.7;68.8;
2022-09-18;0;9.5;24.8;17.9;14.3;58.9;
2022-09-19;0;11.6;28.3;20.2;15.3;60;
2022-09-20;0;13.1;30.2;21.6;16.4;60.4;
2022-09-21;0;15.9;30.8;23.8;19.5;62.8;
2022-09-22;37.8;17.7;24.6;21.3;18;80.4;
2022-09-23;0;14.9;30.2;22.8;18.7;65.5;
2022-09-24;0;10.8;31;22.4;14.8;50;
2022-09-25;0;14.5;29.7;22.2;17.8;63.7;
2022-09-26;0;13.7;31;23.3;17.4;57;
2022-09-27;.4;16.3;24.5;20.1;19;79.1;
2022-09-28;12.4;16.8;26.5;21.1;17.5;77.1;
2022-09-29;1.8;15.3;24.7;20.6;18.2;72.2;
2022-09-30;0;14.9;25.9;20.6;17.5;70.6;
2022-10-01;5;15.7;27.8;21.3;16.4;72.2;
2022-10-02;0;14.5;32.8;24.4;18.7;57;
2022-10-03;0;15;31.1;23.9;19.3;59.5;
2022-10-04;33.8;16;29.9;20.6;16.4;76.6;
2022-10-05;6.6;15.4;31.6;22.9;17;66.4;
2022-10-06;.2;16.6;30.1;24;20.3;64.8;
2022-10-07;0;17;28.8;21.9;20.5;74.8;
2022-10-08;2;15.8;29.2;22.2;18;70.3;
2022-10-09;.2;15.6;26.8;23.2;19.8;62.8;
2022-10-10;0;15.9;30.2;24.2;19.8;60.9;
2022-10-11;0;13.4;31.8;25.3;20.1;50.3;
2022-10-12;0;10.6;32.7;25.5;20.1;42.1;
2022-10-13;0;11.1;31.1;24.7;19.7;44.1;
2022-10-14;0;13.2;30;24.3;18.7;50.8;
2022-10-15;0;12.5;30;23.8;19.7;51.3;
2022-10-16;0;10;29.1;22.4;17.5;47.2;
2022-10-17;0;11;30.8;23.2;17.8;47.4;
2022-10-18;0;12;29.9;23.7;18.6;49.6;
2022-10-19;0;14.1;30.5;23.3;19.4;58.3;
2022-10-20;15.8;16;29.3;22.6;17.6;68.3;
2022-10-21;0;15.9;29.5;22.6;19.2;67.4;
2022-10-22;2.4;17.2;27.4;21.7;18.7;76.3;
2022-10-23;18.2;16.8;27.2;21.6;16.5;75;
2022-10-24;15.4;16;29.4;21.5;17.3;73.1;
2022-10-25;5.2;14.1;29;21.2;14.5;67;
2022-10-26;.2;14.2;30.2;23.2;17.6;58.9;
2022-10-27;0;14.2;31.9;24.7;18.9;54;
2022-10-28;0;14.6;32.1;24.7;20;55;
2022-10-29;.4;15.2;30.7;24.2;19.1;59.3;
2022-10-30;1.6;16.6;30;24.3;19.6;63.8;
2022-10-31;7.8;19.2;25.5;21.8;19.7;85.8;
2022-11-01;3.2;18.4;30.7;22.7;19.1;79.2;
2022-11-02;51;14.7;21.2;17.2;16.8;85.5;
2022-11-03;22.8;11.6;19.3;15.3;13.4;79;
2022-11-04;0;10.1;21.3;16.8;13.8;65.4;
2022-11-05;0;9.2;25.8;18.2;10.8;58.4;
2022-11-06;0;10.1;26.4;19.7;13;55.1;
2022-11-07;0;12.8;28.5;21;16.6;61.1;
2022-11-08;4.8;15;28.7;21.3;17;69.4;
2022-11-09;7.4;15.6;28.6;20.9;16.5;73.5;
2022-11-10;7.4;15.7;29.8;22.7;17.2;66.5;
2022-11-11;0;16.6;31.9;23.6;19.9;67.4;
2022-11-12;23.8;16.8;27.3;21.3;17;76.8;
2022-11-13;0;16.7;31;24.2;19.2;65.8;
2022-11-14;1.4;18.1;30;22.6;18.6;77.1;
2022-11-15;13.6;18.9;26.3;21.3;18.7;86.6;
2022-11-16;9.2;17.8;27.8;21.2;19.1;82.2;
2022-11-17;14.6;15.3;29.1;22.9;15;64.5;
2022-11-18;0;13;28.7;22.5;17.2;56;
2022-11-19;0;13.2;26.5;21.2;15.4;61;
2022-11-20;0;13.6;30;22.2;18;60.2;
2022-11-21;.2;13.6;29.6;23.4;18.1;55.6;
2022-11-22;0;15.4;29.3;22.9;18.6;63.9;
2022-11-23;0;17;25.8;21.6;19.4;75.5;
2022-11-24;16.4;16.9;24.6;20.6;17.9;79.8;
2022-11-25;8.6;13.8;29.3;21.3;13.8;65.8;
2022-11-26;9.8;16.4;28.2;20.4;15.4;79;
2022-11-27;23.2;16.5;28.7;21.8;16.5;73.6;
2022-11-28;.2;16.7;30.6;22.3;17.5;72.5;
2022-11-29;24;16.3;29.3;21.5;16.4;74.8;
2022-11-30;22.6;16.6;29.4;22.1;16.6;72.3;
2022-12-01;0;17.2;30.1;22.4;18.5;73.6;
2022-12-02;10.2;17.5;29;23;18.7;72.5;
2022-12-03;0;17.3;26;22;20;75;
2022-12-04;5.6;17;28.3;21.6;17.7;76.4;
2022-12-05;.2;16.7;25;21.6;19.4;73.7;
2022-12-06;0;16.6;21.5;19.8;19.3;81.9;
2022-12-07;11;18.2;25.3;20.4;18.2;87.4;
2022-12-08;null;null;30;null;18.5;68.3;
2022-12-09;0;16.6;31.9;25.3;20.1;62.1;
2022-12-10;0;18.5;30.6;24.4;19.4;70.9;
2022-12-11;32.8;17.9;30.2;23.1;18.2;74.8;
2022-12-12;1.6;18.9;30.8;24.1;19.8;74;
2022-12-13;29.2;19.3;26.5;21.4;18.9;88.1;
2022-12-14;26.8;17.1;24.1;20.3;18.8;82.8;
2022-12-15;.6;15.5;25.2;20.1;17.6;75.8;
2022-12-16;0;15.1;27.4;21.1;17.1;70;
2022-12-17;0;17.8;27.8;21.5;18;80.5;
2022-12-18;35;17.3;28.4;22;17.3;75.9;
2022-12-19;3.6;18.1;23.2;20.6;19.4;85.8;
2022-12-20;20.6;18.8;23.3;20.4;18.9;90.5;
2022-12-21;55.4;18.5;27.3;21.2;18.1;85.2;
2022-12-22;.2;16.2;27.4;21.9;17.7;71;
2022-12-23;0;15.5;26.1;21.1;16.9;71.3;
2022-12-24;0;16.4;28.4;21.7;18.5;72.4;
2022-12-25;.2;17.2;28.1;22;18.4;75.7;
2022-12-26;1.6;17.3;27.4;20.6;18.7;81.5;
2022-12-27;20.4;18.1;28.5;21.9;17.7;80;
2022-12-28;0;17.9;27.9;23.4;20.1;72.6;
2022-12-29;0;18.3;27.7;22.6;19.8;77.2;
2022-12-30;2;17.6;29.6;22.7;18.9;74.6;
2022-12-31;64.6;17.9;27.8;21.4;17.9;81.2;
2023-01-01;2.4;18.3;26.4;21.3;18.9;83.5;
2023-01-02;8.8;17.9;26.1;21;18.3;83.1;
2023-01-03;6.4;18.3;26.3;20.8;18.6;86;
2023-01-04;18.8;18.6;26.9;20.8;18.1;87.4;
2023-01-05;22.6;18.8;23.2;20.3;18.6;90.8;
2023-01-06;22;19.3;23.9;20.9;19.2;90.7;
2023-01-07;81.8;18.7;27.6;21.1;18.8;86.9;
2023-01-08;52.8;18.7;25.2;20.7;18.9;88.6;
2023-01-09;13;18.4;28.4;21.2;18.2;84.9;
2023-01-10;9.8;18.5;29.4;22.1;18.6;81.3;
2023-01-11;6;18.1;29.2;22.1;18.6;78.8;
2023-01-12;18.2;18.1;26.2;20.8;18.2;84.7;
2023-01-13;1;17.7;30.7;23.1;17.5;73.3;
2023-01-14;15;18.5;30.3;23.8;19.6;74.5;
2023-01-15;.2;19;31.4;25.4;20.8;69;
2023-01-16;0;16.4;30.8;24.4;19.7;62.7;
2023-01-17;0;15.5;30.4;24.1;19.4;59.7;
2023-01-18;0;16.9;31;24.6;20.1;63.9;
2023-01-19;22.4;17.7;28.6;22.5;17.5;75.2;
2023-01-20;.2;17.1;28.2;21.3;19.2;77.8;
2023-01-21;38.2;18.1;23.6;19.6;17.3;91.1;
2023-01-22;19.4;18.6;28.3;21.3;18.8;85.6;
2023-01-23;66.2;19.2;28;22.1;19.2;84.3;
2023-01-24;4.6;19.5;28;21.6;19.7;87.7;
2023-01-25;22.6;18.9;29.3;21.6;18.7;86.1;
2023-01-26;25.6;18.4;29.5;22.3;18.7;79.9;
2023-01-27;4.8;18.5;29.2;22.9;18.5;77.2;
2023-01-28;.4;18.5;30.9;23.2;20.3;76.5;
2023-01-29;2;17.6;31.5;23.8;19.4;70.6;
2023-01-30;4.6;18.6;29.3;21.6;17.8;83.8;
2023-01-31;15;17.1;30.7;23.4;18.6;69;
2023-02-01;0;15.8;30.2;23.8;19.3;61.8;
2023-02-02;0;16.3;29.8;24.1;20.5;62.2;
2023-02-03;0;16.7;31.6;25.4;19.6;59.7;
2023-02-04;0;17.4;32.3;25.9;20.5;61.4;
2023-02-05;0;17.9;32.7;26.2;20.6;62.1;
2023-02-06;0;18.5;31.5;25.2;20.5;67.5;
2023-02-07;.4;18.2;30.2;23;19.1;75.1;
2023-02-08;3.8;17.4;28.9;22;18.4;76.3;
2023-02-09;14.2;17.7;29;21.5;17.2;79.9;
2023-02-10;0;17.5;31;23.3;17.9;72;
2023-02-11;0;16.8;30.4;24.6;20.4;62.9;
2023-02-12;0;18;30.4;23.3;21.2;72.8;
2023-02-13;17;18.2;30.6;23.2;18.3;75.3;
2023-02-14;0;18.4;32.4;24.1;19.4;72.6;
2023-02-15;25;18.6;31.4;23.9;18.9;74.1;
2023-02-16;28.8;18;30.2;22.5;17.9;77.4;
2023-02-17;.2;18.1;31.6;23.6;19.7;73;
2023-02-18;9.8;19;29.7;22.9;19.5;79.9;
2023-02-19;.2;17.8;29.6;23.7;19.6;71.8;
2023-02-20;0;16.8;29.9;23.5;18.7;67.8;
2023-02-21;0;16.5;30.2;23.4;19;66.6;
2023-02-22;0;16.9;31.2;24.7;20.6;63;
2023-02-23;0;17.6;29;24.5;21.1;65.9;
2023-02-24;0;17.4;30.1;24.5;19.1;65.6;
2023-02-25;0;16.9;31.4;24.9;19.9;62.3;
2023-02-26;0;17.5;30.9;24.9;21.2;64;
2023-02-27;0;16.2;30.5;24.8;19.4;59.6;
2023-02-28;0;16;30.8;24.5;18.7;61.2;
2023-03-01;0;16.1;31.7;24.8;20.1;59.4;
2023-03-02;0;17.6;31.3;25;20.6;65;
2023-03-03;0;17;30;24.9;21.5;62.3;
2023-03-04;0;15.5;30.9;24.6;19.5;58.1;
2023-03-05;0;15.8;31.4;24.9;19.2;58.2;
2023-03-06;0;17.1;31.1;25.3;20.8;61.5;
2023-03-07;0;17.4;30.1;24.6;20.7;64.5;
2023-03-08;0;17.7;29.6;23.5;20.8;71.3;
2023-03-09;5.2;16.9;30.1;23.8;19.1;66.9;
2023-03-10;0;17.2;29.8;24.6;20.8;64.4;
2023-03-11;0;16.8;28.7;24.1;20.5;63.9;
2023-03-12;36;17.7;29.2;22.7;18.4;75.4;
2023-03-13;0;17.2;27.3;23.2;19.7;69.5;
2023-03-14;0;16.9;27;22.6;18.7;70.8;
2023-03-15;0;16.2;29.2;23;17.8;67.5;
2023-03-16;1.6;16.3;29.5;22.9;18.8;68.4;
2023-03-17;0;15.2;29.7;23.3;17;62.3;
2023-03-18;0;16.4;29.6;23.3;18.3;66.2;
2023-03-19;0;17.3;30.8;23.8;20.2;68.5;
2023-03-20;0;17.2;29.9;23.8;20.5;67.3;
2023-03-21;0;16.4;31;24.3;18.9;63.3;
2023-03-22;0;15.9;30.3;24.6;20.6;59.5;
2023-03-23;0;15.9;30.3;24.1;19.6;61.3;
2023-03-24;0;14.8;31.1;24.7;19.2;56.2;
2023-03-25;0;14.5;31.5;25.3;19.1;52.9;
2023-03-26;0;14.9;32;25.5;20.3;53.8;
2023-03-27;0;16.8;32.1;25.1;19;61.3;
2023-03-28;1.6;17.7;30.8;24.6;19.3;66.8;
2023-03-29;0;16.8;30.5;24.3;20.2;64.5;
2023-03-30;0;13.7;30.7;24;18.4;54.8;
2023-03-31;0;11.1;31.8;24.4;17.1;46.2;
2023-04-01;0;14.7;31.7;25.2;18.6;53.8;
2023-04-02;0;16.6;30.2;23.9;18.9;64.7;
2023-04-03;0;16.1;30.6;22.6;19.5;67.5;
2023-04-04;0;15.2;30;23;17.6;63.8;
2023-04-05;0;14.8;30.1;23.6;19.3;59;
2023-04-06;0;16.2;30.8;24.3;20.7;61.7;
2023-04-07;0;17.3;29.5;23;20.1;71.5;
2023-04-08;12.2;18.4;29.3;23.2;19.1;76.1;
2023-04-09;6;18.2;27.2;21.4;18.7;82.4;
2023-04-10;6.6;16.8;27.9;21.5;16.7;75.7;
2023-04-11;0;16;27.7;21.6;18.1;71.4;
2023-04-12;0;17;26.8;21.4;19;76.8;
2023-04-13;5.4;17.3;29.8;23.2;19.2;71;
2023-04-14;0;18.4;29;23;21;75.8;
2023-04-15;6.8;17.9;28.6;22.4;18.6;77.2;
2023-04-16;.2;15.9;28.4;22.7;18.6;66.2;
2023-04-17;0;15.5;29.8;23;17.5;64.3;
2023-04-18;0;16.7;30.7;23.9;18;66.4;
2023-04-19;0;18.6;26.5;21.8;19.3;82.6;
2023-04-20;4.2;13.7;27;21.4;18.2;65.8;
2023-04-21;0;12.9;22.7;19.2;16.3;67.4;
2023-04-22;.2;14.1;23.6;19.1;16.3;73.5;
2023-04-23;0;15;24.8;19.5;16.4;75.8;
2023-04-24;0;14;26.2;19.9;15.1;70.2;
2023-04-25;0;14.2;27.8;20.7;15.2;68.3;
2023-04-26;0;16;29.1;22.3;18;68.7;
2023-04-27;0;16.7;29;22.9;18.2;70;
2023-04-28;7.8;18.3;28.8;22;18.7;80.1;
2023-04-29;9.2;17.7;26.4;20.8;17.5;82.9;
2023-04-30;1.4;15.5;27.6;20.9;16.7;72.5;
2023-05-01;0;14.4;28;21.3;16.7;67;
2023-05-02;0;12.2;28.8;20.5;14;61.8;
2023-05-03;0;13.8;28.7;21.3;15.4;65.1;
2023-05-04;0;14.8;29.3;22.5;17.4;64;
2023-05-05;0;14.7;29.6;22.4;16.3;64.2;
2023-05-06;0;14.1;28.6;21.1;15.6;66.6;
2023-05-07;0;14.1;27.6;20.7;15.7;67.6;
2023-05-08;0;14.1;27.6;20.5;16.2;68;
2023-05-09;0;14.4;28.1;21.6;16.1;65.8;
2023-05-10;0;15.3;27.2;20.8;16.4;71.9;
2023-05-11;0;15.5;29.4;22.3;16.6;67.6;
2023-05-12;0;14.1;27.8;21.7;17.2;64.4;
2023-05-13;0;13.8;27.4;21.2;17;64.2;
2023-05-14;0;13.7;27.9;21.1;15.9;65;
2023-05-15;0;13.7;28;21.3;15.7;65.3;
2023-05-16;0;10.5;28.1;20.3;13.5;58.6;
2023-05-17;0;9.6;27.1;18.6;11;59.5;
2023-05-18;0;9.6;26.1;18.1;11.1;60.8;
2023-05-19;0;9.9;25.4;16.8;10.1;67.1;
2023-05-20;0;9.5;24.3;17.3;10.9;62.3;
2023-05-21;0;9.7;25;18.4;13.6;58.7;
2023-05-22;0;11.4;25.1;18.8;15.2;63.6;
2023-05-23;0;12.8;23.5;18.2;14.4;71.4;
2023-05-24;0;13.9;23.4;18.6;14.5;74.8;
2023-05-25;0;13.3;25.1;19.6;15.8;68.5;
2023-05-26;0;13;25.1;19;15.1;68.8;
2023-05-27;0;12.3;27;19.8;15.4;64.3;
2023-05-28;0;12.4;27.8;20.6;14.6;61.3;
2023-05-29;0;14.2;25;18.5;15.8;76.4;
2023-05-30;.6;13.5;23.5;18.2;13.8;74.8;
2023-05-31;0;13.5;26.1;19.7;15.8;69.1;
2023-06-01;0;13.9;26.2;20.1;15.7;69.7;
2023-06-02;0;12.1;26;18.4;12.6;68.8;
2023-06-03;0;11.2;24.9;18.1;12.1;67.1;
2023-06-04;0;10.6;24.9;17.9;11.6;64.6;
2023-06-05;0;9.9;25.6;17.9;12;63.2;
2023-06-06;0;10;23.6;17.3;11.6;65;
2023-06-07;0;8.8;25;17.7;11.9;57.9;
2023-06-08;0;8.7;26.5;18.2;12.9;57.5;
2023-06-09;0;10.3;26.8;19.2;12.1;59.1;
2023-06-10;0;11.5;27.7;19.6;12.9;62.5;
2023-06-11;0;12;28.3;20;13.7;63.2;
2023-06-12;0;12.4;28;20.8;14.7;61.8;
2023-06-13;0;13.8;27.4;21.2;16.7;64;
2023-06-14;0;13.7;26.1;20.6;17.5;65.5;
2023-06-15;0;13.2;26.1;20.6;16.7;63.9;
2023-06-16;0;14.2;27.5;20.5;15;68.4;
2023-06-17;2.6;16.3;23.6;19.3;17.2;83.1;
2023-06-18;.2;13.7;26.2;18.9;14;74.3;
2023-06-19;0;11.7;24.9;18.8;12.8;66;
2023-06-20;0;10.4;23.6;16.8;11;68.2;
2023-06-21;0;9.1;23.4;17;11.8;61;
2023-06-22;0;8.5;24.3;16.9;10.8;59.9;
2023-06-23;0;9;23.8;16.7;10.7;62;
2023-06-24;0;9.7;24.3;16.8;10.1;65.4;
2023-06-25;0;11.7;22.8;17.2;12.5;71;
2023-06-26;0;11.8;27.1;18.5;11.5;68.3;
2023-06-27;0;13.3;25.8;19.4;14.6;69.3;
2023-06-28;0;9.4;27.3;19;12.7;58.5;
2023-06-29;0;9.4;26.7;18.8;11.2;58.4;
2023-06-30;0;10;26;19.2;12.4;57.3;
2023-07-01;0;10;24.9;17.8;11.8;62.9;
2023-07-02;0;9.1;26.6;18.2;11.5;59.4;
2023-07-03;0;8.6;24.7;17.2;10.9;60;
2023-07-04;0;7.3;23.4;16.1;8.9;58.8;
2023-07-05;0;7.4;22.1;16;12.1;58;
2023-07-06;0;7.2;23.2;15.2;8.8;61.7;
2023-07-07;0;7.3;24.8;16.3;8.8;58.9;
2023-07-08;0;7.4;26.9;18.1;11;53.9;
2023-07-09;0;7.7;29.5;19.9;12.2;49.3;
2023-07-10;0;11;28.5;21;14.9;54.8;
2023-07-11;0;12;30.6;21.8;14.8;57.5;
2023-07-12;0;11.4;30.7;22.2;15.3;54.3;
2023-07-13;0;10.8;30.5;23;16.8;48.8;
2023-07-14;1.6;11;24.9;20.2;15.8;56.8;
2023-07-15;0;11.3;24.1;17.1;12;69.5;
2023-07-16;0;13.3;26.3;19;15.3;71.2;
2023-07-17;0;13.8;28.7;21;15.3;65.8;
2023-07-18;0;13.1;30.3;22.6;16.9;58.2;
2023-07-19;0;13.6;28.3;22.5;19.2;58;
2023-07-20;0;13.3;25.5;20.1;17.3;65.5;
2023-07-21;0;12.8;24.2;18.8;16.1;69.1;
2023-07-22;0;11.3;24.1;18.3;14.6;65.2;
2023-07-23;0;11.8;26.2;19.3;15.5;62.7;
2023-07-24;0;13.7;25.3;19.6;16.7;70.1;
2023-07-25;0;11.5;27.6;20.2;15.4;60.5;
2023-07-26;0;13.2;28.2;20.9;17.1;63.9;
2023-07-27;0;14.1;26.4;20.7;16.9;67.3;
2023-07-28;0;12.1;27.8;20.9;16.5;58.7;
2023-07-29;0;12.4;28.4;20.5;14.7;61.8;
2023-07-30;0;13.6;26.3;20.1;16.8;67.5;
2023-07-31;0;12.3;26.5;19.7;15.5;64.8;
2023-08-01;0;11.8;26.5;19.9;13.8;61.9;
2023-08-02;0;10;26.9;19.5;14.1;56.6;
2023-08-03;0;9.3;29.8;20.4;12.7;54.1;
2023-08-04;0;9.3;29.3;21.2;13.1;50.3;
2023-08-05;0;8.8;30.7;22.3;14.3;45;
2023-08-06;0;9.4;28.4;21.4;15.3;49.5;
2023-08-07;0;7.7;29.4;20.9;14.1;47;
2023-08-08;0;8.7;30.5;21.4;13.3;47.3;
2023-08-09;0;13;26.1;20.3;16.8;64;
2023-08-10;0;12.5;28;20.6;15.9;62.9;
2023-08-11;0;12;29.5;21.5;16;58.3;
2023-08-12;0;12.1;31.5;23.5;17;51.6;
2023-08-13;0;13.6;26.9;21.3;17.8;62.1;
2023-08-14;0;12.8;27.9;21.5;17;59.3;
2023-08-15;0;12.9;26.6;21.2;17.7;60.3;
2023-08-16;0;13;25.9;20.1;17.1;64.9;
2023-08-17;0;12.5;26.7;20.3;16.7;62.6;
2023-08-18;0;11.6;29.3;20.9;15.1;58.5;
2023-08-19;0;11.8;31.3;22.9;15.4;53.9;
2023-08-20;0;12.2;30.5;22;17.1;55.5;
